Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),eecbc,21
2,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),aaaaa,29
3,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),eecbc,22
4,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),aaaaa,30
5,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),aaaaa,5
6,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),bbbaa,11
7,(5;30),(4;26),(11;26),(8;21),(5;25),(7;30),(10;21),(10;26),(11;27),(5;23),(11;19),(9;25),(10;22),(9;27),(6;22),(13;26),(11;27),(7;32),(6;20),(12;24),(8;23),(13;19),(8;30),(7;27),(12;27),(12;25),(6;16),(8;18),(4;20),(5;17),(7;16),(4;16),(7;17),(9;24),(7;16),(7;20),(4;16),(11;18),(4;21),(6;17),(4;26),(7;21),(9;18),(4;18),(9;25),(5;16),(8;18),(7;20),(4;20),(5;20),(9;22),bbbaa,22
8,(23;42),(21;38),(27;41),(28;51),(20;53),(25;43),(25;48),(22;49),(24;55),(32;43),(26;51),(29;43),(25;48),(34;44),(28;42),(31;53),(28;55),(26;42),(16;54),(26;46),(19;40),(25;44),(30;48),(27;45),(21;40),(12;31),(17;38),(19;30),(23;35),(15;36),(21;41),(15;39),(26;49),(25;44),(24;38),(20;38),(17;32),(21;38),(20;52),(21;47),(24;37),(26;41),(23;45),(24;38),(24;40),(23;40),(23;44),(25;49),(25;46),(23;41),(21;35),bbaaa,16
9,(23;42),(21;38),(27;41),(28;51),(20;53),(25;43),(25;48),(22;49),(24;55),(32;43),(26;51),(29;43),(25;48),(34;44),(28;42),(31;53),(28;55),(26;42),(16;54),(26;46),(19;40),(25;44),(30;48),(27;45),(21;40),(12;31),(17;38),(19;30),(23;35),(15;36),(21;41),(15;39),(26;49),(25;44),(24;38),(20;38),(17;32),(21;38),(20;52),(21;47),(24;37),(26;41),(23;45),(24;38),(24;40),(23;40),(23;44),(25;49),(25;46),(23;41),(21;35),aaaaa,32
10,(23;42),(21;38),(27;41),(28;51),(20;53),(25;43),(25;48),(22;49),(24;55),(32;43),(26;51),(29;43),(25;48),(34;44),(28;42),(31;53),(28;55),(26;42),(16;54),(26;46),(19;40),(25;44),(30;48),(27;45),(21;40),(12;31),(17;38),(19;30),(23;35),(15;36),(21;41),(15;39),(26;49),(25;44),(24;38),(20;38),(17;32),(21;38),(20;52),(21;47),(24;37),(26;41),(23;45),(24;38),(24;40),(23;40),(23;44),(25;49),(25;46),(23;41),(21;35),bbaaa,19
