Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),bbaaa,7
2,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),aaaaa,21
3,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),bbaaa,5
4,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),aaaaa,19
5,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),abbab,18
6,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),aaaaa,6
7,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),bbaab,11
8,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),bbaaa,6
9,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),bbaab,21
10,(0;23),(3;20),(3;22),(2;24),(2;26),(2;22),(2;19),(4;21),(3;21),(2;21),(4;18),(2;22),(3;22),(2;24),(0;25),(4;21),(4;21),(4;25),(3;22),(4;24),(3;28),(3;25),(0;28),(1;26),(4;35),(4;29),(2;15),(2;15),(1;14),(0;16),(2;17),(1;19),(0;18),(1;19),(2;19),(1;16),(1;20),(2;18),(3;19),(1;21),(3;19),(2;17),(3;21),(3;20),(1;21),(3;20),(3;19),(2;23),(3;24),(2;22),(4;28),abbab,14
