Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,26
2,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,21
3,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,15
4,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,24
5,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,13
6,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,29
7,(27;48),(26;44),(22;43),(26;55),(28;44),(23;44),(26;44),(29;51),(22;45),(29;45),(26;51),(33;53),(28;57),(31;48),(25;56),(28;40),(31;62),(29;49),(30;53),(30;43),(24;49),(28;41),(31;49),(29;43),(29;46),(18;30),(18;30),(24;37),(26;34),(25;37),(24;39),(24;39),(23;36),(27;35),(20;44),(28;43),(22;35),(24;36),(26;37),(26;39),(23;40),(25;47),(21;40),(20;43),(17;38),(24;46),(22;46),(18;34),(21;35),(26;45),(23;41),aaaaa,23
8,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),aaaaa,23
9,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),aaaaa,20
10,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),aaaaa,21
11,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),bbaaa,27
12,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),aaaaa,39
13,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),bbaaa,10
14,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),aaaaa,22
15,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),bbaaa,30
16,(10;37),(10;41),(10;46),(11;47),(11;51),(11;44),(10;42),(12;41),(8;47),(12;48),(5;49),(14;45),(12;45),(17;45),(13;50),(14;43),(7;50),(12;60),(12;48),(14;41),(17;52),(13;49),(15;48),(10;46),(20;50),(13;33),(7;30),(11;34),(5;39),(10;40),(9;38),(8;40),(8;43),(11;36),(12;40),(6;46),(11;30),(12;35),(12;39),(8;38),(15;40),(14;40),(10;40),(13;43),(16;42),(13;41),(12;40),(9;44),(12;40),(20;38),(10;34),bbaaa,21
