Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),abbab,14
2,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),bbbab,11
3,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),bbbaa,14
4,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),bcbab,22
5,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),baaab,6
6,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),abaab,2
7,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),cccbb,7
8,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),bbbab,11
9,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),bcbbc,16
10,(0;16),(0;19),(0;16),(0;21),(0;18),(0;19),(0;19),(0;23),(0;18),(0;19),(0;17),(0;18),(0;19),(0;19),(0;20),(0;21),(0;17),(0;19),(0;21),(0;18),(0;26),(0;19),(0;18),(0;20),(0;30),(0;18),(0;14),(0;15),(0;18),(0;15),(0;16),(0;19),(0;17),(0;16),(0;15),(0;16),(0;14),(0;14),(0;18),(0;14),(0;15),(0;14),(0;14),(0;19),(0;16),(0;16),(0;16),(0;17),(0;17),(0;20),(0;18),cccbb,6
