Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(11;16),(9;17),(8;27),(7;14),(11;26),(5;15),(5;23),(7;18),(4;17),(4;31),(6;20),(10;18),(9;16),(9;24),(9;23),(8;18),(12;23),(6;22),(3;23),(12;18),(7;23),(7;22),(8;24),(5;35),(9;23),(7;29),(3;13),(7;18),(5;13),(8;18),(3;17),(6;18),(9;16),(6;12),(9;14),(5;11),(6;14),(9;13),(7;15),(4;18),(8;21),(5;16),(5;19),(5;15),(7;13),(3;18),(5;11),(7;18),(10;21),(8;19),(7;24),aaaaa,6
2,(11;16),(9;17),(8;27),(7;14),(11;26),(5;15),(5;23),(7;18),(4;17),(4;31),(6;20),(10;18),(9;16),(9;24),(9;23),(8;18),(12;23),(6;22),(3;23),(12;18),(7;23),(7;22),(8;24),(5;35),(9;23),(7;29),(3;13),(7;18),(5;13),(8;18),(3;17),(6;18),(9;16),(6;12),(9;14),(5;11),(6;14),(9;13),(7;15),(4;18),(8;21),(5;16),(5;19),(5;15),(7;13),(3;18),(5;11),(7;18),(10;21),(8;19),(7;24),aaaaa,13
3,(11;16),(9;17),(8;27),(7;14),(11;26),(5;15),(5;23),(7;18),(4;17),(4;31),(6;20),(10;18),(9;16),(9;24),(9;23),(8;18),(12;23),(6;22),(3;23),(12;18),(7;23),(7;22),(8;24),(5;35),(9;23),(7;29),(3;13),(7;18),(5;13),(8;18),(3;17),(6;18),(9;16),(6;12),(9;14),(5;11),(6;14),(9;13),(7;15),(4;18),(8;21),(5;16),(5;19),(5;15),(7;13),(3;18),(5;11),(7;18),(10;21),(8;19),(7;24),aaaaa,22
4,(11;16),(9;17),(8;27),(7;14),(11;26),(5;15),(5;23),(7;18),(4;17),(4;31),(6;20),(10;18),(9;16),(9;24),(9;23),(8;18),(12;23),(6;22),(3;23),(12;18),(7;23),(7;22),(8;24),(5;35),(9;23),(7;29),(3;13),(7;18),(5;13),(8;18),(3;17),(6;18),(9;16),(6;12),(9;14),(5;11),(6;14),(9;13),(7;15),(4;18),(8;21),(5;16),(5;19),(5;15),(7;13),(3;18),(5;11),(7;18),(10;21),(8;19),(7;24),aaaaa,24
5,(11;16),(9;17),(8;27),(7;14),(11;26),(5;15),(5;23),(7;18),(4;17),(4;31),(6;20),(10;18),(9;16),(9;24),(9;23),(8;18),(12;23),(6;22),(3;23),(12;18),(7;23),(7;22),(8;24),(5;35),(9;23),(7;29),(3;13),(7;18),(5;13),(8;18),(3;17),(6;18),(9;16),(6;12),(9;14),(5;11),(6;14),(9;13),(7;15),(4;18),(8;21),(5;16),(5;19),(5;15),(7;13),(3;18),(5;11),(7;18),(10;21),(8;19),(7;24),aaaaa,9
6,(31;42),(27;37),(31;45),(23;46),(26;39),(23;42),(26;41),(28;44),(30;44),(32;38),(34;47),(29;46),(36;43),(28;37),(27;43),(31;44),(30;42),(26;53),(28;39),(32;40),(34;39),(25;42),(31;40),(25;36),(23;35),(19;30),(17;24),(22;29),(21;27),(15;31),(20;29),(18;29),(22;30),(19;30),(25;37),(27;40),(24;37),(24;38),(21;52),(25;34),(24;42),(21;41),(22;37),(24;36),(25;29),(25;40),(21;33),(26;41),(23;36),(23;37),(19;31),aaaaa,21
7,(31;42),(27;37),(31;45),(23;46),(26;39),(23;42),(26;41),(28;44),(30;44),(32;38),(34;47),(29;46),(36;43),(28;37),(27;43),(31;44),(30;42),(26;53),(28;39),(32;40),(34;39),(25;42),(31;40),(25;36),(23;35),(19;30),(17;24),(22;29),(21;27),(15;31),(20;29),(18;29),(22;30),(19;30),(25;37),(27;40),(24;37),(24;38),(21;52),(25;34),(24;42),(21;41),(22;37),(24;36),(25;29),(25;40),(21;33),(26;41),(23;36),(23;37),(19;31),aaaaa,18
8,(31;42),(27;37),(31;45),(23;46),(26;39),(23;42),(26;41),(28;44),(30;44),(32;38),(34;47),(29;46),(36;43),(28;37),(27;43),(31;44),(30;42),(26;53),(28;39),(32;40),(34;39),(25;42),(31;40),(25;36),(23;35),(19;30),(17;24),(22;29),(21;27),(15;31),(20;29),(18;29),(22;30),(19;30),(25;37),(27;40),(24;37),(24;38),(21;52),(25;34),(24;42),(21;41),(22;37),(24;36),(25;29),(25;40),(21;33),(26;41),(23;36),(23;37),(19;31),aaaaa,19
9,(31;42),(27;37),(31;45),(23;46),(26;39),(23;42),(26;41),(28;44),(30;44),(32;38),(34;47),(29;46),(36;43),(28;37),(27;43),(31;44),(30;42),(26;53),(28;39),(32;40),(34;39),(25;42),(31;40),(25;36),(23;35),(19;30),(17;24),(22;29),(21;27),(15;31),(20;29),(18;29),(22;30),(19;30),(25;37),(27;40),(24;37),(24;38),(21;52),(25;34),(24;42),(21;41),(22;37),(24;36),(25;29),(25;40),(21;33),(26;41),(23;36),(23;37),(19;31),aaaaa,20
10,(31;42),(27;37),(31;45),(23;46),(26;39),(23;42),(26;41),(28;44),(30;44),(32;38),(34;47),(29;46),(36;43),(28;37),(27;43),(31;44),(30;42),(26;53),(28;39),(32;40),(34;39),(25;42),(31;40),(25;36),(23;35),(19;30),(17;24),(22;29),(21;27),(15;31),(20;29),(18;29),(22;30),(19;30),(25;37),(27;40),(24;37),(24;38),(21;52),(25;34),(24;42),(21;41),(22;37),(24;36),(25;29),(25;40),(21;33),(26;41),(23;36),(23;37),(19;31),aaaaa,27
