Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(31;37),(30;41),(38;50),(27;44),(37;51),(23;37),(37;41),(31;44),(35;47),(33;38),(26;42),(26;37),(33;42),(30;42),(32;43),(35;47),(30;45),(34;53),(37;47),(40;42),(29;41),(22;42),(34;46),(24;29),(24;41),(18;30),(22;24),(21;34),(24;32),(26;40),(23;35),(20;33),(26;32),(24;35),(18;34),(34;40),(21;33),(23;32),(19;33),(19;34),(28;36),(27;30),(28;31),(25;39),(29;42),(21;40),(24;35),(25;33),(28;37),(24;33),(22;32),aaaaa,21
2,(31;37),(30;41),(38;50),(27;44),(37;51),(23;37),(37;41),(31;44),(35;47),(33;38),(26;42),(26;37),(33;42),(30;42),(32;43),(35;47),(30;45),(34;53),(37;47),(40;42),(29;41),(22;42),(34;46),(24;29),(24;41),(18;30),(22;24),(21;34),(24;32),(26;40),(23;35),(20;33),(26;32),(24;35),(18;34),(34;40),(21;33),(23;32),(19;33),(19;34),(28;36),(27;30),(28;31),(25;39),(29;42),(21;40),(24;35),(25;33),(28;37),(24;33),(22;32),aaaaa,24
3,(31;37),(30;41),(38;50),(27;44),(37;51),(23;37),(37;41),(31;44),(35;47),(33;38),(26;42),(26;37),(33;42),(30;42),(32;43),(35;47),(30;45),(34;53),(37;47),(40;42),(29;41),(22;42),(34;46),(24;29),(24;41),(18;30),(22;24),(21;34),(24;32),(26;40),(23;35),(20;33),(26;32),(24;35),(18;34),(34;40),(21;33),(23;32),(19;33),(19;34),(28;36),(27;30),(28;31),(25;39),(29;42),(21;40),(24;35),(25;33),(28;37),(24;33),(22;32),aaaaa,30
4,(31;37),(30;41),(38;50),(27;44),(37;51),(23;37),(37;41),(31;44),(35;47),(33;38),(26;42),(26;37),(33;42),(30;42),(32;43),(35;47),(30;45),(34;53),(37;47),(40;42),(29;41),(22;42),(34;46),(24;29),(24;41),(18;30),(22;24),(21;34),(24;32),(26;40),(23;35),(20;33),(26;32),(24;35),(18;34),(34;40),(21;33),(23;32),(19;33),(19;34),(28;36),(27;30),(28;31),(25;39),(29;42),(21;40),(24;35),(25;33),(28;37),(24;33),(22;32),aaaaa,21
5,(27;49),(33;46),(31;40),(28;39),(34;40),(26;47),(44;53),(27;45),(39;45),(32;39),(36;47),(32;46),(32;38),(39;52),(28;29),(39;45),(30;52),(28;43),(38;51),(33;50),(29;41),(21;36),(27;38),(26;33),(25;35),(19;30),(21;32),(23;42),(20;26),(17;33),(24;28),(24;35),(20;34),(29;34),(23;36),(29;38),(38;46),(28;32),(23;35),(30;34),(40;41),(21;30),(31;40),(31;46),(30;37),(26;35),(26;43),(28;32),(21;44),(30;34),(26;34),bbaaa,25
6,(27;49),(33;46),(31;40),(28;39),(34;40),(26;47),(44;53),(27;45),(39;45),(32;39),(36;47),(32;46),(32;38),(39;52),(28;29),(39;45),(30;52),(28;43),(38;51),(33;50),(29;41),(21;36),(27;38),(26;33),(25;35),(19;30),(21;32),(23;42),(20;26),(17;33),(24;28),(24;35),(20;34),(29;34),(23;36),(29;38),(38;46),(28;32),(23;35),(30;34),(40;41),(21;30),(31;40),(31;46),(30;37),(26;35),(26;43),(28;32),(21;44),(30;34),(26;34),bbaaa,25
7,(27;49),(33;46),(31;40),(28;39),(34;40),(26;47),(44;53),(27;45),(39;45),(32;39),(36;47),(32;46),(32;38),(39;52),(28;29),(39;45),(30;52),(28;43),(38;51),(33;50),(29;41),(21;36),(27;38),(26;33),(25;35),(19;30),(21;32),(23;42),(20;26),(17;33),(24;28),(24;35),(20;34),(29;34),(23;36),(29;38),(38;46),(28;32),(23;35),(30;34),(40;41),(21;30),(31;40),(31;46),(30;37),(26;35),(26;43),(28;32),(21;44),(30;34),(26;34),bbaaa,14
8,(27;49),(33;46),(31;40),(28;39),(34;40),(26;47),(44;53),(27;45),(39;45),(32;39),(36;47),(32;46),(32;38),(39;52),(28;29),(39;45),(30;52),(28;43),(38;51),(33;50),(29;41),(21;36),(27;38),(26;33),(25;35),(19;30),(21;32),(23;42),(20;26),(17;33),(24;28),(24;35),(20;34),(29;34),(23;36),(29;38),(38;46),(28;32),(23;35),(30;34),(40;41),(21;30),(31;40),(31;46),(30;37),(26;35),(26;43),(28;32),(21;44),(30;34),(26;34),bbaaa,28
9,(25;38),(26;38),(32;42),(38;47),(37;51),(35;50),(40;42),(27;36),(30;40),(33;48),(27;35),(39;43),(32;41),(32;44),(28;38),(38;45),(30;39),(34;39),(27;40),(26;48),(32;39),(32;39),(34;35),(27;45),(18;32),(17;35),(18;31),(26;36),(28;38),(26;36),(24;37),(24;35),(24;26),(24;30),(31;35),(30;39),(19;42),(26;37),(17;36),(27;41),(32;39),(32;36),(25;37),(25;49),(23;37),(20;31),(29;38),(24;41),(32;40),(14;23),(20;33),aaaaa,24
10,(25;38),(26;38),(32;42),(38;47),(37;51),(35;50),(40;42),(27;36),(30;40),(33;48),(27;35),(39;43),(32;41),(32;44),(28;38),(38;45),(30;39),(34;39),(27;40),(26;48),(32;39),(32;39),(34;35),(27;45),(18;32),(17;35),(18;31),(26;36),(28;38),(26;36),(24;37),(24;35),(24;26),(24;30),(31;35),(30;39),(19;42),(26;37),(17;36),(27;41),(32;39),(32;36),(25;37),(25;49),(23;37),(20;31),(29;38),(24;41),(32;40),(14;23),(20;33),aaaaa,26
11,(25;38),(26;38),(32;42),(38;47),(37;51),(35;50),(40;42),(27;36),(30;40),(33;48),(27;35),(39;43),(32;41),(32;44),(28;38),(38;45),(30;39),(34;39),(27;40),(26;48),(32;39),(32;39),(34;35),(27;45),(18;32),(17;35),(18;31),(26;36),(28;38),(26;36),(24;37),(24;35),(24;26),(24;30),(31;35),(30;39),(19;42),(26;37),(17;36),(27;41),(32;39),(32;36),(25;37),(25;49),(23;37),(20;31),(29;38),(24;41),(32;40),(14;23),(20;33),aaaaa,20
12,(25;38),(26;38),(32;42),(38;47),(37;51),(35;50),(40;42),(27;36),(30;40),(33;48),(27;35),(39;43),(32;41),(32;44),(28;38),(38;45),(30;39),(34;39),(27;40),(26;48),(32;39),(32;39),(34;35),(27;45),(18;32),(17;35),(18;31),(26;36),(28;38),(26;36),(24;37),(24;35),(24;26),(24;30),(31;35),(30;39),(19;42),(26;37),(17;36),(27;41),(32;39),(32;36),(25;37),(25;49),(23;37),(20;31),(29;38),(24;41),(32;40),(14;23),(20;33),aaaaa,23
13,(26;46),(28;42),(32;37),(30;40),(20;36),(33;52),(42;48),(29;40),(24;63),(32;38),(28;45),(37;52),(35;44),(31;43),(32;47),(33;37),(31;46),(26;45),(25;48),(26;43),(34;38),(30;44),(36;45),(25;32),(29;42),(19;25),(18;30),(20;38),(28;33),(24;40),(21;29),(24;38),(28;43),(21;28),(28;38),(23;32),(26;33),(22;41),(27;32),(20;40),(27;38),(29;37),(21;32),(27;34),(30;42),(33;38),(23;45),(29;38),(30;40),(26;30),(23;35),bbaaa,24
14,(26;46),(28;42),(32;37),(30;40),(20;36),(33;52),(42;48),(29;40),(24;63),(32;38),(28;45),(37;52),(35;44),(31;43),(32;47),(33;37),(31;46),(26;45),(25;48),(26;43),(34;38),(30;44),(36;45),(25;32),(29;42),(19;25),(18;30),(20;38),(28;33),(24;40),(21;29),(24;38),(28;43),(21;28),(28;38),(23;32),(26;33),(22;41),(27;32),(20;40),(27;38),(29;37),(21;32),(27;34),(30;42),(33;38),(23;45),(29;38),(30;40),(26;30),(23;35),aaaaa,20
15,(26;46),(28;42),(32;37),(30;40),(20;36),(33;52),(42;48),(29;40),(24;63),(32;38),(28;45),(37;52),(35;44),(31;43),(32;47),(33;37),(31;46),(26;45),(25;48),(26;43),(34;38),(30;44),(36;45),(25;32),(29;42),(19;25),(18;30),(20;38),(28;33),(24;40),(21;29),(24;38),(28;43),(21;28),(28;38),(23;32),(26;33),(22;41),(27;32),(20;40),(27;38),(29;37),(21;32),(27;34),(30;42),(33;38),(23;45),(29;38),(30;40),(26;30),(23;35),bbaaa,33
