Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,2
2,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,1
3,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,0
4,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,0
5,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,0
6,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,0
7,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,0
8,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),bbbbd,1
9,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),aaaaa,0
10,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),aaaaa,2
11,(0;38),(0;36),(0;39),(0;59),(0;41),(0;39),(0;37),(0;49),(0;57),(0;45),(0;45),(0;36),(0;43),(0;44),(0;46),(0;41),(0;52),(0;46),(0;43),(0;36),(0;43),(0;44),(0;40),(0;48),(0;41),(0;33),(0;32),(0;39),(0;41),(0;42),(0;40),(0;45),(0;31),(0;46),(0;39),(0;35),(0;40),(0;47),(0;39),(0;41),(0;37),(0;37),(0;40),(0;36),(0;46),(0;36),(0;44),(0;41),(0;37),(0;40),(0;40),aaaaa,0
