Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),aaaaa,73
2,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,23
3,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,18
4,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,24
5,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,20
6,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),aaaaa,13
7,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,23
8,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),aaaaa,20
9,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),aaaaa,24
10,(19;49),(21;53),(22;56),(23;59),(24;54),(22;52),(25;56),(22;58),(19;63),(20;49),(24;56),(19;53),(22;61),(27;55),(19;57),(26;59),(25;54),(24;67),(16;57),(18;56),(19;64),(25;58),(22;51),(24;72),(21;64),(14;64),(16;46),(15;39),(16;43),(15;42),(16;44),(17;47),(20;49),(15;46),(20;44),(17;46),(18;55),(17;47),(19;52),(19;42),(19;48),(21;48),(18;46),(17;50),(18;46),(21;46),(20;55),(18;49),(21;50),(23;45),(12;57),bbaaa,24
