Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,43
2,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,13
3,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,27
4,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,28
5,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,24
6,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,24
7,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,25
8,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,18
9,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,18
10,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,20
11,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,33
12,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,21
13,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,21
14,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,16
15,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,30
16,(25;46),(26;46),(22;50),(23;52),(28;54),(24;45),(26;53),(28;44),(21;63),(29;44),(26;56),(25;53),(26;44),(28;44),(19;56),(34;53),(22;62),(28;55),(29;47),(28;56),(24;61),(22;43),(20;49),(25;48),(20;63),(13;51),(16;40),(20;35),(24;38),(20;33),(20;47),(18;43),(21;49),(18;41),(18;37),(13;38),(17;38),(16;43),(23;52),(21;40),(22;44),(17;44),(18;43),(23;46),(23;42),(21;39),(24;42),(23;43),(21;50),(21;52),(16;43),aaaaa,14
