Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,24
2,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,26
3,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,20
4,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,23
5,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,21
6,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,24
7,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,30
8,(25;38),(26;41),(32;50),(27;47),(37;51),(23;50),(37;42),(27;44),(30;47),(33;48),(26;42),(26;43),(32;42),(30;44),(28;43),(35;47),(30;45),(34;53),(27;47),(26;48),(29;41),(22;42),(34;46),(24;45),(18;41),(17;35),(18;31),(21;36),(24;38),(26;40),(23;37),(20;35),(24;32),(24;35),(18;35),(30;40),(19;42),(23;37),(17;36),(19;41),(28;39),(27;36),(25;37),(25;49),(23;42),(20;40),(24;38),(24;41),(28;40),(14;33),(20;33),aaaaa,21
9,(21;37),(25;39),(26;56),(30;47),(26;44),(33;44),(30;40),(26;44),(34;47),(27;48),(24;41),(29;45),(35;46),(19;40),(32;51),(26;59),(33;54),(24;52),(32;57),(33;56),(26;53),(30;58),(27;48),(27;49),(26;40),(22;34),(23;36),(16;35),(20;39),(22;36),(17;39),(22;47),(25;43),(30;41),(31;41),(25;46),(18;33),(22;44),(27;39),(30;38),(28;44),(28;48),(27;42),(26;50),(29;35),(26;41),(27;40),(27;44),(30;40),(25;39),(19;38),bbaaa,15
10,(21;37),(25;39),(26;56),(30;47),(26;44),(33;44),(30;40),(26;44),(34;47),(27;48),(24;41),(29;45),(35;46),(19;40),(32;51),(26;59),(33;54),(24;52),(32;57),(33;56),(26;53),(30;58),(27;48),(27;49),(26;40),(22;34),(23;36),(16;35),(20;39),(22;36),(17;39),(22;47),(25;43),(30;41),(31;41),(25;46),(18;33),(22;44),(27;39),(30;38),(28;44),(28;48),(27;42),(26;50),(29;35),(26;41),(27;40),(27;44),(30;40),(25;39),(19;38),bbaaa,27
